"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.593193800E-2,1.026760197E1,-1.591227055E-1,-9.272187948E-2
3.539579200E-2,1.020957565E1,-2.476571500E-1,-2.416750938E-1
5.485954200E-2,1.021496010E1,-3.894318938E-1,-3.427718580E-1
7.432339700E-2,1.025444126E1,-5.413761139E-1,-2.925225794E-1
9.378725100E-2,1.028195858E1,-6.843472719E-1,-1.776670814E-1
1.132510010E-1,1.021376324E1,-7.818548083E-1,-5.084748194E-2
1.327148550E-1,1.011924744E1,-7.878368497E-1,6.101697683E-2
1.521787090E-1,1.004028416E1,-6.783652306E-1,1.465603858E-1
1.716424590E-1,9.970891953E0,-5.246263742E-1,2.506481707E-1
1.911063130E-1,9.869196892E0,-4.342973232E-1,2.841476798E-1
2.105701670E-1,9.722636223E0,-3.427718580E-1,2.237289101E-1
2.300339170E-1,9.603593826E0,-1.585244983E-1,1.232303679E-1
2.494977720E-1,9.684949875E0,-8.614161611E-2,2.153540403E-2
2.689616260E-1,9.784252167E0,-6.999006122E-2,-8.374879137E-3
2.884253760E-1,9.809376717E0,6.520441920E-2,-4.845465720E-2
3.078892300E-1,9.840482712E0,2.356930375E-1,-1.262213886E-1
3.273530840E-1,9.930811882E0,3.038884699E-1,-1.411765367E-1
3.468168340E-1,9.944570541E0,2.315055877E-1,-1.088734269E-1
3.662806880E-1,9.893125534E0,2.153540403E-1,-1.034895778E-1
3.857444380E-1,9.924830437E0,3.481557071E-1,-2.087737769E-1
4.052082920E-1,9.952945709E0,5.676971674E-1,-2.207378894E-1
4.246721470E-1,9.907482147E0,6.801598072E-1,-1.800599098E-1
4.441358970E-1,9.840482712E0,5.497509837E-1,-1.710868180E-1
4.635997510E-1,9.826126099E0,2.931207716E-1,-1.399801224E-1
4.830636050E-1,9.824930191E0,8.853443712E-2,-4.247260094E-2
5.025273550E-1,9.903294563E0,6.460621208E-2,7.597211748E-2
5.219912090E-1,9.936794281E0,1.214357466E-1,1.872383654E-1
5.414550630E-1,9.885947227E0,1.435693540E-2,1.986042857E-1
5.609188130E-1,9.777072906E0,-2.961117923E-1,9.631111473E-2
5.803826670E-1,9.819545746E0,-5.335994363E-1,-7.776673418E-3
5.998464170E-1,9.939187050E0,-5.682953596E-1,4.187439755E-2
6.193102720E-1,9.927223206E0,-4.725824594E-1,1.962114573E-1
6.387741260E-1,9.704689980E0,-2.829512656E-1,3.403790295E-1
6.582378760E-1,9.597611427E0,-1.208375469E-1,4.103690982E-1
6.777017300E-1,9.742377281E0,-3.349951655E-2,3.990031779E-1
6.971654800E-1,9.891330719E0,-5.982056633E-2,3.571287692E-1
7.166293340E-1,9.890133858E0,-2.027917206E-1,3.678964674E-1
7.360931880E-1,9.788438797E0,-3.146561682E-1,3.768695593E-1
7.555569380E-1,9.657432556E0,-3.978067636E-1,4.091726840E-1
7.750207920E-1,9.738788605E0,-4.917250574E-1,4.319044948E-1
7.944846470E-1,1.003789139E1,-5.102694035E-1,3.930211067E-1
8.139483970E-1,1.017607689E1,-5.180460811E-1,3.320041299E-1
8.334122510E-1,1.009172916E1,-5.539384484E-1,1.639083475E-1
8.528761050E-1,1.009771156E1,-1.944168359E-1,-1.357926875E-1
8.723398550E-1,1.026580715E1,4.313062727E-1,-3.672982752E-1
8.918037090E-1,1.023350430E1,7.322037220E-1,-4.564309120E-1
9.112674590E-1,1.017966557E1,6.466603279E-1,-4.498506486E-1
