"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.426079200E-2,-1.857028902E-1,-1.081230640E-1,1.214093715E-2
5.372454200E-2,-1.904370934E-1,-1.165224537E-1,4.283689335E-2
7.318839700E-2,-1.795942485E-1,-1.127045527E-1,6.742420048E-2
9.265225100E-2,-1.476765573E-1,-9.101885557E-2,7.322741300E-2
1.121160010E-1,-1.079703495E-1,-6.673697382E-2,6.330086291E-2
1.315798550E-1,-6.765327603E-2,-5.482511222E-2,5.322159454E-2
1.510437090E-1,-1.908952370E-2,-4.886918142E-2,5.261072889E-2
1.705074590E-1,4.489856213E-2,-3.817904741E-2,6.345357746E-2
1.899713130E-1,1.142317131E-1,-1.389717404E-2,7.780890167E-2
2.094351670E-1,1.663079411E-1,-1.069013379E-3,8.697187155E-2
2.288989170E-1,1.821904182E-1,-2.580903657E-2,9.476039559E-2
2.483627720E-1,1.615737379E-1,-6.673697382E-2,8.712458611E-2
2.678266260E-1,1.235474050E-1,-8.002328873E-2,5.780307949E-2
2.872903760E-1,8.903354406E-2,-7.498364896E-2,2.725984156E-2
3.067542300E-1,5.482511222E-2,-6.017018110E-2,8.399390499E-4
3.262180840E-1,2.519817278E-2,-5.329795182E-2,-2.359465137E-2
3.456818340E-1,4.428769462E-3,-6.566796452E-2,-3.962985426E-2
3.651456880E-1,-1.740964688E-2,-7.895427197E-2,-4.925097153E-2
3.846094380E-1,-4.703658819E-2,-7.223475724E-2,-6.268999726E-2
4.040732920E-1,-8.368847519E-2,-6.337722391E-2,-7.765618712E-2
4.235371470E-1,-1.163697392E-1,-6.322450191E-2,-8.376483619E-2
4.430008970E-1,-1.547015011E-1,-6.291907281E-2,-7.307469845E-2
4.624647510E-1,-2.171624303E-1,-7.269290835E-2,-4.543306679E-2
4.819286050E-1,-3.028362095E-1,-8.811724186E-2,-1.046105940E-2
5.013923550E-1,-3.677406013E-1,-9.178243577E-2,1.259908639E-2
5.208562090E-1,-3.802633286E-1,-8.582650125E-2,1.794415340E-2
5.403200630E-1,-3.393353820E-1,-6.612611562E-2,1.351538301E-2
5.597838130E-1,-2.848156989E-1,-5.849030241E-2,1.488982886E-2
5.792476670E-1,-2.532034516E-1,-8.246674389E-2,1.473711245E-2
5.987114170E-1,-2.538143098E-1,-1.134681329E-1,5.879573524E-3
6.181752720E-1,-2.512181401E-1,-1.128572673E-1,2.519817324E-3
6.376391260E-1,-2.376264036E-1,-8.246674389E-2,1.756236190E-3
6.571028760E-1,-2.122755051E-1,-7.147117704E-2,-5.726857111E-3
6.765667300E-1,-1.882990748E-1,-9.880737960E-2,-2.099847607E-2
6.960304800E-1,-1.809686869E-1,-1.324049383E-1,-3.886627033E-2
7.154943340E-1,-1.959348768E-1,-1.365282834E-1,-4.451677203E-2
7.349581880E-1,-2.084576041E-1,-1.191186309E-1,-4.085158184E-2
7.544219380E-1,-2.133445293E-1,-1.079703495E-1,-4.069886729E-2
7.738857920E-1,-2.018908113E-1,-1.072067693E-1,-4.726566374E-2
7.933496470E-1,-1.908952445E-1,-1.108719558E-1,-6.864593178E-2
8.128133970E-1,-2.005163580E-1,-1.127045527E-1,-1.048396677E-1
8.322772510E-1,-2.087630332E-1,-1.253799945E-1,-1.327867359E-1
8.517411050E-1,-2.018908113E-1,-1.631008983E-1,-1.277471036E-1
8.712048550E-1,-1.895207912E-1,-1.855501831E-1,-1.001054645E-1
8.906687090E-1,-1.571449637E-1,-1.756236255E-1,-6.604975462E-2
9.101324590E-1,-1.020144150E-1,-1.740964651E-1,8.475748822E-3
9.295963130E-1,-5.482511222E-2,-1.904370934E-1,1.008690447E-1
9.490600630E-1,-5.085449293E-2,-1.937968582E-1,1.648571342E-1
9.685239170E-1,-9.285144508E-2,-1.554650813E-1,1.700494885E-1
9.879877720E-1,-1.501200199E-1,-7.422006875E-2,1.198058575E-1
1.007451522E0,-2.054032832E-1,-6.108647678E-3,4.665479809E-2
1.026915376E0,-2.548833191E-1,-6.261364091E-3,-1.382081583E-2
1.046379230E0,-2.895499170E-1,-1.036942974E-1,-3.947713599E-2
1.065842980E0,-2.919933498E-1,-2.008218020E-1,-4.833467677E-2
1.085306834E0,-2.583957911E-1,-2.063195854E-1,-4.390590638E-2
1.104770584E0,-1.947131455E-1,-9.636391699E-2,-2.542724647E-2
1.124234438E0,-9.773836285E-2,4.810560122E-2,-2.832885459E-2
1.143698188E0,6.566796452E-3,1.504254490E-1,-6.849320978E-2
1.163162042E0,8.826996386E-2,2.060141414E-1,-1.364519149E-1
1.182625897E0,1.154534444E-1,2.105956376E-1,-1.949422210E-1
1.202089647E0,9.758564830E-2,1.808159798E-1,-2.422842383E-1
1.221553501E0,6.887500733E-2,1.395826042E-1,-2.473238707E-1
1.241017251E0,5.054906011E-2,8.857539296E-2,-2.050214857E-1
1.260481105E0,6.520981342E-2,3.634645417E-2,-1.517235339E-1
1.279944855E0,1.160643101E-1,-1.481347065E-2,-1.149189398E-1
1.299408709E0,1.991419196E-1,-6.414080411E-2,-1.010217592E-1
1.318872563E0,3.002400398E-1,-8.659008145E-2,-1.040760875E-1
1.338336313E0,3.998109996E-1,-6.154462695E-2,-1.078939885E-1
1.357800167E0,4.515817761E-1,6.261364091E-3,-1.020907760E-1
1.377263917E0,4.514290690E-1,8.918625861E-2,-8.651372790E-2
1.396727772E0,4.216494262E-1,1.519526094E-1,-7.780890167E-2
1.416191522E0,3.882045746E-1,1.704312712E-1,-9.185878932E-2
1.435655376E0,3.668242991E-1,1.576031148E-1,-1.262199283E-1
1.455119230E0,3.320049942E-1,1.295033395E-1,-1.579848975E-1
1.474582980E0,2.791652083E-1,1.101083755E-1,-1.691331863E-1
1.494046834E0,2.133445293E-1,1.020144150E-1,-1.673005968E-1
1.513510584E0,1.572976857E-1,9.926552325E-2,-1.582903415E-1
1.532974438E0,1.261435747E-1,8.857539296E-2,-1.485165060E-1
1.552438188E0,1.230892539E-1,6.246092543E-2,-1.309541315E-1
1.571902042E0,1.343902498E-1,4.337139800E-2,-1.075885594E-1
1.591365792E0,1.559232324E-1,5.879573524E-2,-7.231111825E-2
1.610829647E0,1.586721241E-1,1.041524485E-1,-4.283689335E-2
1.630293501E0,1.463021189E-1,1.530216336E-1,-4.100430012E-2
1.649757251E0,1.290451884E-1,1.669187993E-1,-4.940368980E-2
1.669221105E0,1.156061590E-1,1.534797698E-1,-4.741837829E-2
1.688684855E0,1.154534444E-1,1.631008983E-1,-2.817613818E-2
1.708148709E0,1.146898642E-1,2.054032832E-1,8.475748822E-3
1.727612459E0,1.020144150E-1,2.513708472E-1,5.245801434E-2
1.747076313E0,7.742711157E-2,2.780961990E-1,8.895718306E-2
1.766540167E0,6.948586553E-2,2.776380479E-1,1.120173261E-1
1.786003917E0,7.941242307E-2,2.364046723E-1,1.231656075E-1
1.805467772E0,8.445205539E-2,1.514944583E-1,1.173623949E-1
1.824931522E0,6.979130208E-2,5.222893879E-2,8.895718306E-2
1.844395376E0,2.550360374E-2,-1.908952370E-2,3.718639165E-2
1.863859126E0,-4.276053607E-2,-1.786779426E-2,-8.933897130E-3
1.883322980E0,-1.197294965E-1,5.482511222E-2,-1.992946304E-2
1.902786730E0,-1.966984570E-1,1.243109852E-1,4.963276442E-3
1.922250584E0,-2.518289983E-1,1.374445707E-1,4.298960790E-2
1.941714438E0,-2.544251680E-1,1.024725661E-1,8.300124854E-2
1.961178188E0,-2.171624303E-1,2.153298259E-2,1.143080741E-1
1.980642042E0,-1.650862098E-1,-5.925388262E-2,1.260672212E-1
2.000105792E0,-1.330158114E-1,-9.544762224E-2,1.155297980E-1
2.019569647E0,-1.299614757E-1,-7.040216774E-2,8.987347782E-2
2.039033397E0,-1.646280587E-1,-1.664606482E-2,6.818778068E-2
2.058497251E0,-2.145662606E-1,9.621120058E-3,7.154753804E-2
2.077961001E0,-2.283107042E-1,-9.468403645E-3,7.154753804E-2
2.097424855E0,-1.994473487E-1,-5.619955808E-2,8.636100590E-2
