"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.335017700E-2,9.885348320E0,3.834498227E-1,-3.619144261E-1
3.281090600E-2,9.868598938E0,3.200400174E-1,-3.469592929E-1
5.227163500E-2,9.830313683E0,3.912265003E-1,-3.194418252E-1
7.173226000E-2,9.805189133E0,5.204389095E-1,-3.188436031E-1
9.119298900E-2,9.801001549E0,6.143572330E-1,-3.152543902E-1
1.106536140E-1,9.795019150E0,5.856433511E-1,-3.684946895E-1
1.301143440E-1,9.774082184E0,4.683950245E-1,-4.432703853E-1
1.495750730E-1,9.717252731E0,4.348955154E-1,-4.342973232E-1
1.690356980E-1,9.717252731E0,5.054838061E-1,-3.361915946E-1
1.884964270E-1,9.921240807E0,6.029912829E-1,-2.763710022E-1
2.079571560E-1,9.990034103E0,5.730810165E-1,-3.834498227E-1
2.274177810E-1,9.894919395E0,5.318048596E-1,-5.306084156E-1
2.468785100E-1,9.831509590E0,5.485545993E-1,-5.832505226E-1
2.663391350E-1,9.805189133E0,6.113662124E-1,-5.132604837E-1
2.857998640E-1,9.771689415E0,6.155536175E-1,-3.409772217E-1
3.052605940E-1,9.832706451E0,4.606183469E-1,-2.763710022E-1
3.247212190E-1,9.917651176E0,2.691925466E-1,-3.302095234E-1
3.441819480E-1,9.857831001E0,3.433700502E-1,-4.779663086E-1
3.636426770E-1,9.785448074E0,5.647061467E-1,-5.449653864E-1
3.831033020E-1,9.814760208E0,6.430711150E-1,-5.294120312E-1
4.025640310E-1,9.833304405E0,5.826523304E-1,-4.624129832E-1
4.220247600E-1,9.863813400E0,4.911268353E-1,-4.366901219E-1
4.414853850E-1,9.945169449E0,4.073780477E-1,-4.564309120E-1
4.609461140E-1,9.965508461E0,3.834498227E-1,-4.815555513E-1
4.804067390E-1,9.899106979E0,4.139583111E-1,-4.612165689E-1
4.998674690E-1,9.809974670E0,4.348955154E-1,-4.881358147E-1
5.193281980E-1,9.817152977E0,4.749752879E-1,-5.042873621E-1
5.387888230E-1,9.830911636E0,4.851447940E-1,-4.899304509E-1
5.582495520E-1,9.786644936E0,4.115654826E-1,-4.797609448E-1
5.777102810E-1,9.711869240E0,3.475574851E-1,-5.228317380E-1
5.971709060E-1,9.719645500E0,3.158525825E-1,-5.359922647E-1
6.166316350E-1,9.832706451E0,3.104687333E-1,-5.629115105E-1
6.360923640E-1,9.905687332E0,3.332005441E-1,-5.706881881E-1
6.555529890E-1,9.885947227E0,3.667000830E-1,-6.143572330E-1
6.750137190E-1,9.850652695E0,3.966103494E-1,-6.406782866E-1
6.944743440E-1,9.873384476E0,4.061816335E-1,-6.448656917E-1
7.139350730E-1,9.892526627E0,3.744767308E-1,-6.418746710E-1
7.333958020E-1,9.913464546E0,3.559323549E-1,-6.394818425E-1
7.528564270E-1,9.872187614E0,3.529413342E-1,-6.711867452E-1
7.723171560E-1,9.831509590E0,3.882354796E-1,-6.400800347E-1
7.917778850E-1,9.845867157E0,4.396811724E-1,-6.113662124E-1
8.112385100E-1,9.854840279E0,4.695914388E-1,-5.635097623E-1
8.306992390E-1,9.815358162E0,4.444667995E-1,-5.216353536E-1
8.501599690E-1,9.777671814E0,3.541377485E-1,-5.330012441E-1
8.696205940E-1,9.805787086E0,3.260220885E-1,-5.647061467E-1
8.890813230E-1,9.832706451E0,4.313062727E-1,-5.730810165E-1
9.085419480E-1,9.869794846E0,5.132604837E-1,-5.144568682E-1
