"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.167590600E-2,1.547778696E-1,-1.611155830E-2,1.145371469E-3
5.113663500E-2,1.540142894E-1,-4.421133921E-2,-2.290742996E-4
7.059726000E-2,1.439350098E-1,-5.719221383E-2,-3.130682046E-3
9.005798900E-2,1.289688200E-1,-5.261072889E-2,-1.259908639E-2
1.095186140E-1,1.204167232E-1,-5.474875495E-2,-2.237292193E-2
1.289793440E-1,1.042288020E-1,-6.299543381E-2,-2.680169232E-2
1.484400730E-1,7.658717036E-2,-6.146826968E-2,-2.298378758E-2
1.679006980E-1,5.199986324E-2,-4.925097153E-2,-1.931859925E-2
1.873614270E-1,4.176788032E-2,-5.093085021E-2,-9.239329956E-3
2.068221560E-1,3.382663801E-2,-5.184714869E-2,-6.795870606E-3
2.262827810E-1,1.565340906E-2,-5.230529606E-2,-2.672533505E-3
2.457435100E-1,-9.850194678E-3,-4.528035223E-2,-3.283398226E-3
2.652041350E-1,-4.024071619E-2,-4.039343446E-2,-9.926552884E-4
2.846648640E-1,-5.749764666E-2,-2.374736778E-2,4.810560029E-3
3.041255940E-1,-5.413788930E-2,-1.030834299E-2,8.628465235E-3
3.235862190E-1,-5.261072889E-2,-3.138317913E-2,9.239329956E-3
3.430469480E-1,-5.795579776E-2,-5.459604040E-2,8.475748822E-3
3.625076770E-1,-6.421715766E-2,-5.138900131E-2,6.490438245E-3
3.819683020E-1,-6.299543381E-2,-3.825540841E-2,2.977965865E-3
4.014290310E-1,-5.826122686E-2,-2.084576152E-2,1.091920771E-2
4.208897600E-1,-6.177370250E-2,-1.107192412E-2,2.069304511E-2
4.403503850E-1,-6.620246917E-2,-6.795870606E-3,2.252563834E-2
4.598111140E-1,-6.589704007E-2,-1.000291109E-2,1.122464053E-2
4.792717390E-1,-5.551233515E-2,-1.107192412E-2,5.345066893E-4
4.987324690E-1,-4.451677203E-2,-9.697478265E-3,-1.756236190E-3
5.181931980E-1,-4.039343446E-2,-9.850194678E-3,3.817904799E-4
5.376538230E-1,-3.581194952E-2,-1.305723470E-2,-3.817904799E-4
5.571145520E-1,-2.649625950E-2,-2.267835476E-2,-1.908952487E-3
5.765752810E-1,-1.886045001E-2,-3.214675933E-2,-2.977965865E-3
5.960359060E-1,-1.000291109E-2,-3.657552972E-2,-5.268708803E-3
6.154966350E-1,-2.367100911E-3,-4.466948658E-2,-1.030834299E-2
6.349573640E-1,3.283398226E-3,-5.184714869E-2,-1.015562657E-2
6.544179890E-1,8.323032409E-3,-4.482220486E-2,-7.712167688E-3
6.738787190E-1,1.229365356E-2,-3.168861195E-2,-4.505127668E-3
6.933393440E-1,1.840230078E-2,-2.206749097E-2,-1.450803829E-3
7.128000730E-1,2.222020552E-2,-1.412624773E-2,-2.061668551E-3
7.322608020E-1,2.741255611E-2,-6.032289471E-3,-5.268708803E-3
7.517214270E-1,3.229947388E-2,7.635809743E-5,-8.781181648E-3
7.711821560E-1,3.306305781E-2,7.864884101E-3,-9.239329956E-3
7.906428850E-1,3.321577236E-2,1.977674663E-2,-5.115992390E-3
8.101035100E-1,3.046688065E-2,1.687514037E-2,-1.450803829E-3
8.295642390E-1,3.489565104E-2,1.183550525E-2,2.061668551E-3
8.490249690E-1,4.543306679E-2,6.490438245E-3,1.450803829E-3
8.684855940E-1,4.054614902E-2,-2.367100911E-3,-2.214384731E-3
8.879463230E-1,2.832885459E-2,-1.030834299E-2,-5.574141163E-3
9.074069480E-1,2.634354308E-2,-5.574141163E-3,-8.323032409E-3
9.268676770E-1,3.092502989E-2,-4.657844082E-3,-9.239329956E-3
9.463284060E-1,3.199404106E-2,-9.239329956E-3,-6.643154658E-3
9.657890310E-1,2.283107117E-2,-2.252563834E-2,-5.726857111E-3
9.852497600E-1,1.259908639E-2,-3.153589368E-2,-5.574141163E-3
1.004710489E0,8.475748822E-3,-3.428478539E-2,-5.115992390E-3
1.024171114E0,7.254019380E-3,-3.046688065E-2,-3.588830587E-3
1.043631844E0,1.756236190E-3,-1.198822167E-2,-3.436114406E-3
1.063092573E0,-5.726857111E-3,2.038761228E-2,-2.825249685E-3
1.082553198E0,6.337722298E-3,4.711294547E-2,-7.635809743E-5
1.102013927E0,2.634354308E-2,6.635518372E-2,6.337722298E-3
1.121474656E0,3.779725730E-2,7.338013500E-2,1.382081583E-2
1.140935281E0,4.054614902E-2,6.742420048E-2,2.283107117E-2
1.160396010E0,4.237874225E-2,7.338013500E-2,2.664897591E-2
1.179856635E0,5.703949928E-2,9.644027799E-2,3.184132650E-2
1.199317364E0,7.108938694E-2,1.239291951E-1,3.810269013E-2
1.218778094E0,7.429642975E-2,1.289688200E-1,3.932442144E-2
1.238238719E0,7.506000996E-2,1.132390574E-1,3.214675933E-2
1.257699448E0,6.207913160E-2,9.598212689E-2,1.702785492E-2
1.277160177E0,3.459021822E-2,7.444914430E-2,-2.367100911E-3
1.296620802E0,1.046105940E-2,6.055197120E-2,-2.023489587E-2
1.316081531E0,7.635809743E-5,4.039343446E-2,-3.229947388E-2
1.335542260E0,-1.107192412E-2,2.160934173E-2,-3.871355578E-2
1.355002885E0,-3.046688065E-2,1.718057133E-2,-4.314232618E-2
1.374463614E0,-3.642281145E-2,1.534797717E-2,-4.146244749E-2
1.393924344E0,-2.374736778E-2,8.475748822E-3,-3.565923125E-2
1.413384969E0,-1.840230078E-2,-2.977965865E-3,-3.046688065E-2
1.432845698E0,-3.886627033E-2,-3.741546767E-3,-3.138317913E-2
1.452306427E0,-4.970912263E-2,-5.879573524E-3,-3.214675933E-2
1.471767052E0,-4.940368980E-2,9.926552884E-4,-2.557996288E-2
1.491227781E0,-4.634936526E-2,1.565340906E-2,-1.519526169E-2
1.510688406E0,-1.779143699E-2,2.939786762E-2,4.352411721E-3
1.530149135E0,-4.657844082E-3,2.542724647E-2,2.359465137E-2
1.549609864E0,4.046979360E-3,-4.046979360E-3,3.382663801E-2
1.569070489E0,1.855501719E-2,-4.421133921E-2,3.611737862E-2
1.588531219E0,2.909243479E-2,-5.978839099E-2,3.657552972E-2
1.607991948E0,2.222020552E-2,-3.611737862E-2,3.520108387E-2
1.627452573E0,2.283107117E-2,-1.275180187E-2,3.153589368E-2
1.646913302E0,3.092502989E-2,-2.557996288E-2,2.512181364E-2
1.666374031E0,3.794997558E-2,-4.894553870E-2,2.130390890E-2
1.685834656E0,2.771798894E-2,-7.368556410E-2,2.054032870E-2
1.705295385E0,-7.101302966E-3,-1.010217592E-1,5.574141163E-3
1.724756114E0,-3.031416424E-2,-1.066722646E-1,-2.237292193E-2
1.744216739E0,-1.076649129E-2,-9.827287495E-2,-5.215258151E-2
1.763677469E0,3.443750367E-2,-8.849903196E-2,-6.268999726E-2
1.783138198E0,6.650790572E-2,-9.399681538E-2,-6.650790572E-2
1.802598823E0,8.941533417E-2,-1.611919403E-1,-8.712458611E-2
1.822059552E0,1.185841262E-1,-2.757290900E-1,-1.016326249E-1
1.841520281E0,1.524871141E-1,-3.853793144E-1,-1.169042438E-1
1.860980906E0,2.117410004E-1,-4.734965563E-1,-1.140026376E-1
1.880441635E0,2.920697331E-1,-5.167152286E-1,-9.903645515E-2
1.899902364E0,3.079521954E-1,-4.970148504E-1,-1.025489271E-1
1.919362989E0,2.836703360E-1,-4.722748399E-1,-1.417969912E-1
1.938823719E0,2.700785995E-1,-4.788416326E-1,-1.981492639E-1
1.958284344E0,2.891681194E-1,-4.960985482E-1,-2.485456020E-1
1.977745073E0,3.536143601E-1,-5.264890790E-1,-2.596938908E-1
1.997205802E0,4.041634202E-1,-5.585594773E-1,-2.509890795E-1
2.016666427E0,3.869064748E-1,-5.538252592E-1,-2.702313066E-1
2.036127156E0,3.085630834E-1,-5.684860349E-1,-2.990946770E-1
2.055587885E0,2.221257091E-1,-5.570323467E-1,-3.249036968E-1
2.075048510E0,1.182786897E-1,-5.464949012E-1,-3.378845751E-1
2.094509239E0,-1.748600416E-2,-5.683333278E-1,-3.516290486E-1
2.113969969E0,-1.700494885E-1,-6.369028687E-1,-3.659843504E-1
2.133430698E0,-3.450622559E-1,-7.488438487E-1,-3.601811528E-1
2.152891323E0,-4.296670258E-1,-8.187878728E-1,-3.343721032E-1
2.172352052E0,-3.983601928E-1,-8.135955334E-1,-2.792415619E-1
2.191812781E0,-4.011090994E-1,-7.942005992E-1,-2.074649483E-1
2.211273406E0,-4.657080472E-1,-8.164971471E-1,-1.462257504E-1
2.230734135E0,-5.807033181E-1,-7.974076271E-1,-1.172096804E-1
