"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.188928300E-2,1.021854877E1,3.750749528E-1,-2.027917206E-1
5.134990800E-2,1.005105114E1,7.154539824E-1,-2.638086975E-1
7.081053300E-2,9.851848602E0,9.840483069E-1,-1.124626622E-1
9.027126200E-2,9.646066666E0,1.019342422E0,1.441675574E-1
1.097318870E-1,9.582656860E0,8.590233326E-1,3.750749528E-1
1.291925120E-1,9.654440880E0,6.161518097E-1,4.983053207E-1
1.486531370E-1,9.801001549E0,3.535395563E-1,4.713860750E-1
1.681138670E-1,9.922437668E0,1.818545163E-1,3.571287692E-1
1.875744920E-1,9.943972588E0,2.129612118E-1,2.662015259E-1
2.070351170E-1,9.981659889E0,3.672982752E-1,3.056831062E-1
2.264957420E-1,9.996614456E0,5.653043389E-1,3.445664644E-1
2.459564710E-1,9.875179291E0,6.556333899E-1,3.571287692E-1
2.654170960E-1,9.789037704E0,6.765705943E-1,3.397808075E-1
2.848777210E-1,9.793225288E0,5.796613097E-1,3.559323549E-1
3.043383460E-1,9.891928673E0,3.816552162E-1,3.110669553E-1
3.237990750E-1,1.017488003E1,1.866401732E-1,1.178465188E-1
3.432597000E-1,1.038664532E1,1.328016520E-1,-1.818545163E-1
3.627203250E-1,1.037886810E1,2.374876440E-1,-2.560320199E-1
3.821809500E-1,1.025623608E1,3.864408433E-1,-1.740778536E-1
4.016416790E-1,1.009711361E1,4.468596280E-1,-2.452643216E-2
4.211023040E-1,9.869196892E0,4.953143001E-1,4.187439755E-2
4.405629290E-1,9.667601585E0,5.545366406E-1,9.332008660E-2
4.600235540E-1,9.546165466E0,5.509474277E-1,1.842473447E-1
4.794842830E-1,9.437292099E0,4.701896608E-1,2.560320199E-1
4.989449080E-1,9.419346809E0,2.739782035E-1,3.649054468E-1
5.184055330E-1,9.535996437E0,1.088734269E-1,4.456632137E-1
5.378662620E-1,9.683753014E0,1.495514158E-2,4.378865361E-1
5.573268870E-1,9.778269768E0,-3.589233849E-3,2.333002090E-1
5.767875120E-1,9.865608215E0,1.417747438E-1,1.142572835E-1
5.962481370E-1,9.924231529E0,3.906283081E-1,1.465603858E-1
6.157088670E-1,9.891928673E0,5.443671346E-1,2.321037948E-1
6.351694920E-1,9.801001549E0,5.294120312E-1,2.679961324E-1
6.546301170E-1,9.796813965E0,4.588237405E-1,3.314059377E-1
6.740907420E-1,9.806385040E0,3.684946895E-1,3.996013701E-1
6.935514710E-1,9.742975235E0,2.578266263E-1,4.360919297E-1
7.130120960E-1,9.721440315E0,9.391828626E-2,4.157529473E-1
7.324727210E-1,9.782457352E0,1.076770201E-2,3.684946895E-1
7.519333460E-1,9.906884193E0,1.016949639E-1,3.655036688E-1
7.713940750E-1,9.981060982E0,2.428714931E-1,4.121637046E-1
7.908547000E-1,9.927223206E0,2.865405083E-1,3.678964674E-1
8.103153250E-1,9.846465111E0,1.998006850E-1,2.578266263E-1
8.297759500E-1,9.786046028E0,8.614161611E-2,2.249253243E-1
8.492366790E-1,9.737591743E0,2.213360928E-2,2.991028428E-1
8.686973040E-1,9.718449593E0,-3.529413417E-2,3.804588020E-1
8.881579290E-1,9.698708534E0,-5.084748194E-2,4.325026870E-1
9.076185540E-1,9.644869804E0,-1.256231871E-2,4.378865361E-1
9.270792830E-1,9.604789734E0,4.965107143E-2,3.756731451E-1
9.465399080E-1,9.655637741E0,2.452643216E-2,3.080759048E-1
9.660005330E-1,9.742377281E0,-1.196411327E-1,2.697907388E-1
9.854611580E-1,9.819545746E0,-2.279163599E-1,2.344966233E-1
1.004921783E0,9.803394318E0,-2.117647976E-1,2.392822653E-1
1.024382512E0,9.740582466E0,-1.417747438E-1,3.182454109E-1
1.043843137E0,9.705288887E0,-1.860419661E-1,4.025924206E-1
1.063303762E0,9.787840843E0,-3.804588020E-1,3.900300860E-1
1.082764492E0,9.902696609E0,-4.989035130E-1,3.487538993E-1
1.102225117E0,9.910472870E0,-4.875376225E-1,3.936193287E-1
1.121685742E0,9.820742607E0,-3.876372576E-1,4.540380836E-1
1.141146367E0,9.784252167E0,-3.643072546E-1,4.109672904E-1
1.160606992E0,9.805787086E0,-3.924229145E-1,2.973082066E-1
1.180067721E0,9.849455833E0,-4.354937077E-1,3.074777126E-1
1.199528346E0,9.814760208E0,-5.066801906E-1,3.828516304E-1
1.218988971E0,9.805189133E0,-6.113662124E-1,3.355933726E-1
1.238449596E0,9.897911072E0,-7.944171429E-1,2.231307179E-1
1.257910325E0,9.994221687E0,-8.147560954E-1,2.554338276E-1
1.277370950E0,1.005404282E1,-5.682953596E-1,3.852444589E-1
1.296831575E0,1.015214825E1,-2.709871531E-1,5.072783828E-1
1.316292200E0,1.023470020E1,-1.357926875E-1,4.486542344E-1
1.335752929E0,1.035793114E1,-2.237289101E-1,2.333002090E-1
1.355213554E0,1.041117096E1,-4.097708762E-1,1.130608693E-1
1.374674179E0,1.023230743E1,-5.569294691E-1,1.286142170E-1
1.394134804E0,9.935597420E0,-7.022934556E-1,2.602194548E-1
1.413595429E0,9.635298729E0,-8.045865893E-1,3.571287692E-1
1.433056158E0,9.485747337E0,-8.255237937E-1,3.559323549E-1
1.452516783E0,9.592825890E0,-7.704889178E-1,2.997010350E-1
1.471977408E0,9.738189697E0,-6.592226624E-1,2.099701911E-1
1.491438033E0,9.850652695E0,-5.186443329E-1,8.434699476E-2
1.510898762E0,1.004626560E1,-2.440679073E-1,-5.982056726E-3
1.530359387E0,1.029870892E1,4.007977992E-2,-1.459621787E-1
1.549820012E0,1.038305569E1,-9.451649338E-2,-2.805584669E-1
1.569280637E0,1.018983555E1,-4.749752879E-1,-3.373879790E-1
1.588741262E0,9.881759644E0,-7.082754970E-1,-3.900300860E-1
1.608201992E0,9.728020668E0,-5.742774606E-1,-3.816552162E-1
1.627662617E0,9.681360245E0,-1.680957973E-1,-3.152543902E-1
1.647123242E0,9.671789169E0,3.212364316E-1,-3.056831062E-1
1.666583867E0,9.727422714E0,5.694918036E-1,-3.188436031E-1
1.686044596E0,9.778867722E0,5.856433511E-1,-3.541377485E-1
1.705505221E0,9.823733330E0,4.803591371E-1,-4.121637046E-1
1.724965846E0,9.859027863E0,2.662015259E-1,-4.402793646E-1
1.744426471E0,9.874580383E0,-8.374879137E-3,-3.948157430E-1
1.763887096E0,9.835099220E0,-1.842473447E-1,-4.067798555E-1
1.783347825E0,9.822537422E0,-2.823530734E-1,-4.360919297E-1
1.802808450E0,9.783055305E0,-2.739782035E-1,-4.600201547E-1
1.822269075E0,9.771689415E0,-9.391828626E-2,-4.600201547E-1
1.841729700E0,9.854242325E0,2.548356056E-1,-3.230310678E-1
1.861190325E0,9.915857315E0,5.922235847E-1,-1.633101404E-1
1.880651054E0,9.831509590E0,7.507480979E-1,-1.076770201E-1
