"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.994522100E-2,1.589775532E-1,5.551233515E-2,-8.177952468E-2
7.940584600E-2,1.156061590E-1,1.019380614E-1,-7.811433077E-2
9.886657500E-2,9.453132749E-2,1.052978188E-1,-5.841394514E-2
1.183272000E-1,1.030834317E-1,8.391755074E-2,-3.077231348E-2
1.377878250E-1,1.343902498E-1,6.406444311E-2,-8.781181648E-3
1.572484500E-1,1.632536054E-1,5.765036494E-2,3.436114406E-3
1.767091790E-1,1.718057245E-1,7.108938694E-2,7.864884101E-3
1.961698040E-1,1.631008983E-1,8.269581944E-2,1.091920771E-2
2.156304290E-1,1.553123742E-1,8.284853399E-2,1.672242396E-2
2.350910540E-1,1.537852138E-1,1.115591824E-1,2.619082667E-2
2.545517830E-1,1.574503928E-1,1.333975941E-1,3.642281145E-2
2.740124080E-1,1.577558219E-1,1.165988147E-1,4.253146052E-2
2.934730330E-1,1.530216336E-1,8.697187155E-2,4.512763396E-2
3.129337620E-1,1.420260668E-1,3.627009690E-2,3.764454275E-2
3.323943870E-1,1.153007299E-1,1.091920771E-2,1.534797717E-2
3.518550120E-1,6.490438432E-2,3.581194952E-2,-1.076649129E-2
3.713156370E-1,1.679878100E-3,7.368556410E-2,-4.298960790E-2
3.907763670E-1,-4.825831577E-2,8.987347782E-2,-7.551816106E-2
4.102369920E-1,-8.475748450E-2,9.124792367E-2,-9.827287495E-2
4.296976170E-1,-1.168278903E-1,9.582941234E-2,-1.023962051E-1
4.491582420E-1,-1.391244531E-1,9.323323518E-2,-9.857830405E-2
4.686189710E-1,-1.412624866E-1,9.292780608E-2,-8.697187155E-2
4.880795960E-1,-1.264490038E-1,9.506583214E-2,-6.299543381E-2
5.075402210E-1,-1.072067693E-1,8.727730811E-2,-3.886627033E-2
5.270008460E-1,-9.269873053E-2,6.131555140E-2,-2.084576152E-2
5.464615750E-1,-9.239330143E-2,3.321577236E-2,-5.879573524E-3
5.659222000E-1,-1.052214578E-1,1.458439697E-2,2.825249685E-3
5.853828250E-1,-1.256854236E-1,8.017600514E-3,-4.963276442E-3
6.048434500E-1,-1.409570426E-1,8.475748822E-3,-2.359465137E-2
6.243041790E-1,-1.577558219E-1,1.320995111E-2,-2.863428742E-2
